ticker,stage,rs_new_high,benchmark_enabled,has_vcp,pivot,entry_price,stop_price,target_price,risk_pct,risk_reward,current_price,volume_50d_avg,contraction_count,dryup_confirmed,last_updated
TSM,2,True,True,False,369.11,369.11,358.04,461.39,3.0,8.33,369.11,12814082,0,False,2026-03-02
XOM,2,True,True,False,154.22,154.22,149.59,192.78,3.0,8.33,154.22,20138176,0,False,2026-03-02
JNJ,2,True,True,False,248.56,248.56,241.1,310.7,3.0,8.33,248.56,9094818,0,False,2026-03-02
MU,2,True,True,False,412.67,412.67,400.29,515.84,3.0,8.33,412.67,35525848,0,False,2026-03-02
CVX,2,True,True,False,189.6,189.6,183.91,237.0,3.0,8.33,189.6,11078318,0,False,2026-03-02
GE,2,True,True,False,345.74,345.74,335.37,432.17,3.0,8.33,345.74,5364534,0,False,2026-03-02
CAT,2,True,True,False,752.32,752.32,729.75,940.4,3.0,8.33,752.32,2806570,0,False,2026-03-02
NVS,2,True,True,False,166.87,166.87,161.86,208.59,3.0,8.33,166.87,2111922,0,False,2026-03-02
AZN,2,True,True,False,203.73,203.73,197.62,254.66,3.0,8.33,203.73,3277602,0,False,2026-03-02
HSBC,2,True,True,False,89.73,89.73,87.04,112.16,3.0,8.33,89.73,2124938,0,False,2026-03-02
MRK,2,True,True,False,121.41,121.41,117.77,151.76,3.0,8.33,121.41,13190174,0,False,2026-03-02
AMAT,2,True,True,False,372.18,372.18,361.01,465.22,3.0,8.33,372.18,7830246,0,False,2026-03-02
RTX,2,True,True,False,212.16,212.16,205.8,265.2,3.0,8.33,212.16,6081254,0,False,2026-03-02
GEV,2,True,True,False,881.18,881.18,854.74,1101.47,3.0,8.33,881.18,2941176,0,False,2026-03-02
SHEL,2,True,True,False,84.22,84.22,81.69,105.28,3.0,8.33,84.22,5192816,0,False,2026-03-02
BHP,2,True,True,False,83.01,83.01,80.52,103.76,3.0,8.33,83.01,4137988,0,False,2026-03-02
AMGN,2,True,True,False,385.7,385.7,374.13,482.13,3.0,8.33,385.7,2895724,0,False,2026-03-02
NEE,2,True,True,False,92.71,92.71,89.93,115.89,3.0,8.33,92.71,9829440,0,False,2026-03-02
GILD,2,True,True,False,150.03,150.03,145.53,187.54,3.0,8.33,150.03,7526880,0,False,2026-03-02
SCCO,2,True,True,False,218.85,218.85,212.28,273.56,3.0,8.33,218.85,2059642,0,False,2026-03-02
TJX,2,True,True,False,159.94,159.94,155.14,199.93,3.0,8.33,159.94,5250088,0,False,2026-03-02
ADI,2,True,True,False,352.41,352.41,341.84,440.51,3.0,8.33,352.41,3974662,0,False,2026-03-02
TTE,2,True,True,False,81.07,81.07,78.64,101.34,3.0,8.33,81.07,1415208,0,False,2026-03-02
TD,2,True,True,False,98.26,98.26,95.31,122.83,3.0,8.33,98.26,2401526,0,False,2026-03-02
RIO,2,True,True,False,99.61,99.61,96.62,124.51,3.0,8.33,99.61,3927828,0,False,2026-03-02
LMT,2,True,True,False,676.7,676.7,656.4,845.88,3.0,8.33,676.7,1810892,0,False,2026-03-02
WELL,2,True,True,False,210.16,210.16,203.86,262.7,3.0,8.33,210.16,3353508,0,False,2026-03-02
NEM,2,True,True,False,128.73,128.73,124.87,160.91,3.0,8.33,128.73,9724046,0,False,2026-03-02
GLW,2,True,True,False,157.86,157.86,153.12,197.33,3.0,8.33,157.86,9236088,0,False,2026-03-02
